Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by ROCKAWAY PROPERTIES,Condo for sale,725000,2,2,792,627 Wilson Ave Apt 3,"Brooklyn, NY 11207",New York,Kings County,Brooklyn,40.6898164,-73.9062474
Brokered by AI Realty Brokerage LLC,Condo for sale,2000000,4,4,3000,444 E 57th St Apt 2D,"New York, NY 10022",New York,New York County,New York,40.7573479,-73.9614914
Brokered by Century 21 Realty First,Condo for sale,839000,3,2,1376,8895 26th Ave Apt 5A,"Brooklyn, NY 11214",United States,New York,Kings County,40.5905451,-73.9910402
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,800000,2,2,1257,309 E 108th St Apt 5F,"New York, NY 10029",New York,New York County,New York,40.7917785,-73.9406204
Brokered by Coldwell Banker Advantage,Condo for sale,430000,2,2,1248,527 Willow Rd E Unit 2,"Staten Island, NY 10314",New York,Richmond County,Staten Island,40.6123868,-74.1511288
Brokered by RE MAX Distinguished Homes & Properties,Condo for sale,200000,1,1,613,1700 Metropolitan Ave Apt Mh,"Bronx, NY 10462",United States,New York,Bronx County,40.840459,-73.8542045
Brokered by Corcoran West Side Gallery,Condo for sale,1995000,3,2,1546,272 W 107th St Apt 8D,"New York, NY 10025",New York,New York County,New York,40.8018548,-73.9672877
Brokered by C J Robin's Real Estate,Condo for sale,320000,2,2,936,1860 Story Ave Unit 36C,"Bronx, NY 10473",New York,Bronx County,The Bronx,40.8236857,-73.8611313
Brokered by Serhant,Condo for sale,285000,2,1,1000,1439 Metropolitan Ave Apt 6A,"Bronx, NY 10462",New York,Bronx County,The Bronx,40.8362269,-73.8612346
Brokered by Corcoran Park Avenue South,Condo for sale,1100000,1,2,890,247 W 46th St Apt 1506,"New York, NY 10036",New York,New York County,New York,40.7598542,-73.9874427
Brokered by Corcoran Park Avenue South,Condo for sale,1100000,1,2,890,247 W 46th St Apt 1506,"New York, NY 10036",New York,New York County,New York,40.7598542,-73.9874427
Brokered by Signature Premier Properties,Condo for sale,1025000,1,1,800,460 E 79th St Apt 9F,"New York, NY 10075",New York,New York County,New York,40.7712538,-73.950858
Brokered by COMPASS,Condo for sale,1375000,1,2,920,188 E 64th St Apt 802,"Manhattan, NY 10065",New York,New York County,New York,40.7645034,-73.9648503
Brokered by Keller Williams NYC,Condo for sale,875000,3,2,1437,105 Bennett Ave Apt 21A,"New York, NY 10033",New York,New York County,New York,40.8539526,-73.9345678
Brokered by COMPASS,Condo for sale,1100000,1,1,726,88 Greenwich St Apt 2307,"Manhattan, NY 10006",New York,New York County,New York,40.7078844,-74.0140879
Brokered by Brown Harris Stevens,Condo for sale,850000,2,2,1005,340 Cabrini Blvd Apt 501,"Manhattan, NY 10040",New York,New York County,New York,40.856444,-73.9377616
Brokered by 5 Boro Realty Corp,Condo for sale,99000,1,1,2184,1368 E 92nd St Unit 300,"Brooklyn, NY 11236",New York,Kings County,Brooklyn,40.6372545,-73.9002674
Brokered by COMPASS,Condo for sale,2350000,1,2,1144,456 W 19th St Units 4 & 5C,"Manhattan, NY 10011",United States,New York,New York County,40.7449256,-74.0057175
Brokered by Serhant,Condo for sale,12000000,4,4,3809,67 Franklin St # A,"New York, NY 10013",United States,New York,New York County,40.7174584,-74.0038831
Brokered by Extell Marketing Group LLC,Condo for sale,2265000,2,2,1123,252 South St Unit 26L,"New York, NY 10002",New York,New York County,New York,40.710456,-73.991235
