Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,729900,3,2,1150,447 Vernon Ave,"Staten Island, NY 10309",United States,New York,Richmond County,40.5302132,-74.1981906
Brokered by Winzone Realty Inc,House for sale,1880000,3,4,3150,3758 Bayview Ave,"Brooklyn, NY 11224",United States,New York,Kings County,40.5805262,-74.0061062
Brokered by Keller Williams City Views,House for sale,1175000,3,2,2250,251 Beach 140th St,"Rockaway Park, NY 11694",United States,New York,Queens County,40.57372,-73.8577786
Brokered by Hauseit LLC,House for sale,995000,3,2,2184,159-03 83rd St,"Howard Beach, NY 11414",United States,New York,Queens County,40.657686,-73.8489131
Brokered by RE MAX Edge,House for sale,2800000,4,6,8333,25 Copperleaf Ter,"Staten Island, NY 10304",United States,New York,Richmond County,40.5861193,-74.1075476
Brokered by Keller Williams Rlty Landmark,House for sale,2600000,5,4,3024,214-42 27th Ave,"Bayside, NY 11360",United States,New York,Queens County,40.7780417,-73.7739629
Brokered by TALK OF THE TOWN REALTY C,House for sale,675000,3,2,2400,2519 Mill Ave,"Brooklyn, NY 11234",United States,New York,Kings County,40.610206,-73.91065
Brokered by Gateway Arms Realty Corp.,House for sale,879000,4,2,1238,48 Princewood Ave,"Staten Island, NY 10309",United States,New York,Richmond County,40.5273247,-74.1983282
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,918888,3,2,2184,30-36 88th St,"East Elmhurst, NY 11369",United States,New York,Queens County,40.760703,-73.880887
Brokered by Jamie & Connie Real Estate Grp,House for sale,1730000,6,2,3024,45-12 244th St,"Little Neck, NY 11362",United States,New York,Queens County,40.765022,-73.7422005
Brokered by East Coast REALTORS Inc,House for sale,2500000,5,2,1450,33-02 Parsons Blvd,"Flushing, NY 11354",United States,New York,Queens County,40.7679673,-73.8246067
Brokered by RE MAX Elite,House for sale,998000,4,4,2000,336 Bethel Ave,"Staten Island, NY 10307",United States,New York,Richmond County,40.515251,-74.235145
Brokered by Coldwell Banker Advantage,House for sale,1195000,4,4,2688,222 Hart Blvd,"Staten Island, NY 10301",United States,New York,Richmond County,40.6296431,-74.1005274
Brokered by RE MAX Real Estate Professionals,House for sale,1649000,3,2,2052,1217 84th St,"Brooklyn, NY 11228",United States,New York,Kings County,40.6164182,-74.0142443
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,955000,4,4,2100,82 Vineland Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.551184,-74.1840649
Brokered by Keller Williams Rlty Landmark,House for sale,880000,3,2,1743,190-16 33rd Ave,"Flushing, NY 11358",United States,New York,Queens County,40.7668312,-73.7911175
Brokered by Howard Hanna | Rand Realty,House for sale,549000,5,3,496,2808 Wickham Ave,"Bronx, NY 10469",United States,New York,Bronx County,40.8679701,-73.836565
Brokered by RE MAX Elite,House for sale,1088888,3,4,1320,1568 W 2nd St,"Brooklyn, NY 11204",United States,New York,Kings County,40.6090909,-73.9762651
Brokered by CAROZZA NICHOLAS M,House for sale,888000,4,2,2686,3079 Giegerich Pl,"Bronx, NY 10465",United States,New York,Bronx County,40.8130775,-73.8063357
Brokered by Real Broker NY LLC,House for sale,1449999,3,2,2184,21-89 47th St,"Long Island City, NY 11105",United States,New York,Queens County,40.7697773,-73.9014478
