Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Cross Country Realty,Coming Soon,649000,4,3,2184,194 Carroll St,"Brooklyn, NY 11231",United States,New York,Kings County,40.6813429,-73.9981509
Brokered by Flateau Realty Corp,Coming Soon,1695000,5,2,2250,871 Putnam Ave,"Ny, NY 11221",United States,New York,Kings County,40.686947,-73.9261885
