Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Ben Bay Rlty Of Marine Pk Llc,Pending,1488000,2,2,1464,1119 85th St,"Brooklyn, NY 11228",United States,New York,Kings County,40.6171732,-74.0169489
Brokered by Bergen Basin Realty Llc,Pending,699000,4,4,1619,1379 E 93rd St,"Brooklyn, NY 11236",United States,New York,Kings County,40.6376197,-73.898975
Brokered by Douglas Elliman - Central Nassau,Pending,400000,2,1,2184,280 Dean St Apt 23,"Brooklyn, NY 11217",New York,Kings County,Brooklyn,40.684191,-73.982522
Brokered by Oxford Property Group,Pending,799000,3,1,1200,177 W 83rd St Apt 4S,"New York, NY 10024",New York,New York County,New York,40.7856899,-73.976047
Brokered by Amorelli Realty LLC,Pending,875000,3,2,2184,24-47 43rd St,"Astoria, NY 11103",United States,New York,Queens County,40.7671317,-73.9087817
Brokered by RE/MAX Team,Pending,988000,2,2,2451,165-15 Cross Island Pkwy,"Whitestone, NY 11357",United States,New York,Queens County,40.7864686,-73.7971724
Brokered by EXP Realty,Pending,670000,1,2,908,112-01 Queens Blvd Unit 21A,"Forest Hills, NY 11375",New York,Queens County,Queens,40.718793,-73.8365852
Brokered by Keller Williams Rlty Landmark,Pending,498888,1,1,750,12-05 Estates Ln Unit 231-1,"Bayside, NY 11360",New York,Queens County,Queens,40.788818,-73.7867657
"Brokered by BEN BAY REALTY, CO.",Pending,1299000,4,2,2080,79 73rd St,"Brooklyn, NY 11209",United States,New York,Kings County,40.6347105,-74.0342611
Brokered by Corcoran Park Slope,Pending,699000,3,2,1250,280 Clinton B Fiske Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6165969,-74.1340662
Brokered by Momentum Real Estate Llc,Pending,949000,4,4,2920,6 Mann Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6134167,-74.1334698
Brokered by Maureen Folan R E Group Llc,Pending,1425000,4,3,2184,159-18 28 Ave,"Flushing, NY 11358",United States,New York,Queens County,40.7719037,-73.8044794
Brokered by Douglas Elliman - 575 Madison Ave,Pending,36000000,8,10,16000,12 E 79th St,"New York, NY 10075",United States,New York,New York County,40.7764017,-73.9629479
Brokered by Exit Realty Prime,Pending,765000,4,2,2184,46-10 Glenwood St,"Little Neck, NY 11362",United States,New York,Queens County,40.7714061,-73.732929
Brokered by Douglas Elliman - 575 Madison Ave,Pending,1999000,3,4,2840,158 Jaffrey St,"Brooklyn, NY 11235",United States,New York,Kings County,40.5789619,-73.9430773
Brokered by RE/MAX Team,Pending,758888,4,2,2184,40-26 Benham St,"Elmhurst, NY 11373",United States,New York,Queens County,40.7479833,-73.8746835
Brokered by Keller Williams Rlty Landmark,Pending,1188000,3,2,2184,85-34 Chevy Chase St,"Jamaica, NY 11432",United States,New York,Queens County,40.7199051,-73.7781913
Brokered by EXP Realty,Pending,859000,3,2,2184,110-38 64 Ave Units 36B & 35,"Forest Hills, NY 11375",United States,New York,Queens County,40.7339078,-73.845842
Brokered by COMPASS,Pending,599000,2,3,2184,457 W 57th St Unit 809,"Manhattan, NY 10019",New York,New York County,New York,40.768983,-73.987526
Brokered by Real Broker LLC,Pending,1390000,5,4,1992,1429 Avenue H,"Brooklyn, NY 11230",United States,New York,Kings County,40.6302066,-73.962272
Brokered by CENTURY 21 Zaloom Realty,Pending,1199900,4,4,2393,251 Wilson Ave,"Staten Island, NY 10308",United States,New York,Richmond County,40.5477774,-74.160225
Brokered by Brown Harris Stevens - 130 Fifth Avenue,Pending,1250000,2,2,2184,60 Gramercy Park N Apt 2H,"Manhattan, NY 10010",New York,New York County,New York,40.7385938,-73.9863188
Brokered by Momentum Real Estate Llc,Pending,1039000,3,2,2300,8934 15th Ave,"Brooklyn, NY 11228",United States,New York,Kings County,40.6049171,-74.0166722
Brokered by MARASA REALTY INC,Pending,825000,5,2,2184,170 Amsterdam Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6033161,-74.1679729
"Brokered by Nest Seekers International, Midtown",Pending,4999000,3,2,2160,36 Gramercy Park E Apt 5N,"New York, NY 10003",New York,New York County,New York,40.7375223,-73.9849542
Brokered by KELLER WILLIAMS REALTY EMPIRE,Pending,995000,5,2,2128,203 Sterling St,"Brooklyn, NY 11225",United States,New York,Kings County,40.6631136,-73.9544199
Brokered by Brown Harris Stevens,Pending,225000,2,1,600,535 W 163rd St Apt 3,"Manhattan, NY 10032",New York,New York County,New York,40.8375103,-73.9407123
Brokered by RE MAX Edge,Pending,648000,3,2,2112,157 N Pine Ter,"Staten Island, NY 10312",United States,New York,Richmond County,40.5395578,-74.1795806
Brokered by BHHS New York Properties,Pending,895000,2,2,1111,343 E 74th St Apt 20B,"New York, NY 10021",New York,New York County,New York,40.7696861,-73.9557104
Brokered by Realty Connect Usa L I Inc,Pending,669000,3,1,1080,42-39 248th St,"Little Neck, NY 11363",United States,New York,Queens County,40.7696159,-73.7403605
Brokered by Douglas Elliman - 2112 Frederick Douglass Blvd,Pending,2495000,5,4,4230,217 W 122nd St,"New York, NY 10027",United States,New York,New York County,40.807581,-73.9505281
"Brokered by CITI - Citi Habitats, Inc. - NY",Pending,199999,9,3,2184,429 Pennsylvania Ave,"Brooklyn, NY 11207",United States,New York,Kings County,40.666792,-73.894205
Brokered by Corcoran Williamsburg Bedford,Pending,2100000,3,2,1902,76 Powers St,"Brooklyn, NY 11211",United States,New York,Kings County,40.7118832,-73.947991
Brokered by COMPASS,Pending,1895000,3,2,1230,47 Bridge St Apt 3C,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.7032131,-73.9845345
Brokered by COMPASS,Pending,1895000,3,2,1230,47 Bridge St Apt 3C,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.7032131,-73.9845345
Brokered by TDMT - The Development Marketing Team,Pending,560000,2,1,2184,345 Bedford Ave Apt D2,"Brooklyn, NY 11211",New York,Kings County,Brooklyn,40.7121147,-73.9626871
Brokered by Jamie & Connie Real Estate Grp,Pending,1380000,6,4,2184,150-39 59th Ave,"Flushing, NY 11355",United States,New York,Queens County,40.7416665,-73.8173924
Brokered by Arash Real Estate & Mgmt,Pending,749000,3,1,2184,7 Van Nostrand Ct,"Little Neck, NY 11362",United States,New York,Queens County,40.7714035,-73.733393
Brokered by COMPASS,Pending,1225000,4,2,2184,34-47 80th St Unit 31,"Queens, NY 11372",New York,Queens County,Queens,40.7535399,-73.8868899
Brokered by Berkshire Hathaway,Pending,199000,3,2,1100,1259 Grant Ave Apt 5H,"Bronx, NY 10456",New York,Bronx County,The Bronx,40.8344217,-73.914718
Brokered by COMPASS,Pending,749000,1,1,2184,88 Charles St Apt 3D,"Manhattan, NY 10014",New York,New York County,New York,40.7345653,-74.0041732
Brokered by COMPASS,Pending,675000,3,0,2780,41 Warren St Unit Subc,"Manhattan, NY 10007",New York,New York County,New York,40.7143933,-74.0088774
Brokered by COMPASS,Pending,675000,3,0,2780,41 Warren St Unit Subc,"Manhattan, NY 10007",New York,New York County,New York,40.7143933,-74.0088774
Brokered by COMPASS,Pending,4500000,1,2,5400,129 Russell St Unit Commercial,"Brooklyn, NY 11222",United States,New York,Kings County,40.7248276,-73.9446616
Brokered by Corcoran Brooklyn Heights,Pending,3250000,8,5,2184,1123 Albemarle Rd,"Brooklyn, NY 11218",United States,New York,Kings County,40.6467032,-73.9685896
Brokered by Sotheby's International Realty - Downtown Manhattan,Pending,399000,2,1,2184,301 E 63rd St Apt 4B,"New York, NY 10065",New York,New York County,New York,40.7631466,-73.9622114
Brokered by COMPASS,Pending,435000,1,1,2184,155 Hicks St Unit 5A,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6969047,-73.9948252
Brokered by Charles H. Greenthal Property,Pending,289000,1,2,1213,27110 Grand Central Pkwy Apt 1O,"Floral Park, NY 11005",New York,Queens County,Queens,40.7564761,-73.7212008
Brokered by Corcoran Park Slope,Pending,1395000,2,2,1028,357 6th Ave Apt 1,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,40.670563,-73.981488
Brokered by Corcoran West Side Gallery,Pending,299000,3,1,2184,465 W 57th St Apt 3B,"New York, NY 10019",New York,New York County,New York,40.76907,-73.987788
Brokered by COMPASS,Pending,1599000,6,4,3690,33-17 85th St,"Jackson Heights, NY 11372",United States,New York,Queens County,40.7552678,-73.8822127
Brokered by Prime Realty,Pending,1399000,4,2,1800,35-12 213th St,"Bayside, NY 11361",United States,New York,Queens County,40.768361,-73.7747442
Brokered by COMPASS,Pending,2800000,5,4,3400,232 Argyle Rd,"Brooklyn, NY 11218",United States,New York,Kings County,40.6435168,-73.9669556
Brokered by Brown Harris Stevens - 129 Montague Street,Pending,1250000,1,1,2184,17 W 10th St Apt 3N,"Manhattan, NY 10011",New York,New York County,New York,40.7340094,-73.9963862
Brokered by Howard Hanna Coach Realtors - Williston Park,Pending,775000,4,2,1230,92-19 241st St,"Bellerose, NY 11426",United States,New York,Queens County,40.7258337,-73.7268795
Brokered by Houlihan Lawrence,Pending,205000,1,1,660,5921 Calloway St Apt 2U,"Corona, NY 11368",New York,Queens County,Queens,40.7376662,-73.8566546
Brokered by Douglas Elliman - 1995 Broadway,Pending,729000,2,1,2184,193 Bleecker St Apt 12B,"New York, NY 10012",New York,New York County,New York,40.7293904,-74.0013331
Brokered by Maureen Folan R E Group Llc,Pending,1098000,4,4,2184,213-07 28th Ave,"Bayside, NY 11360",United States,New York,Queens County,40.7770737,-73.7760771
Brokered by RE MAX Edge,Pending,675000,3,2,1444,46 Coddington Ave,"Staten Island, NY 10306",United States,New York,Richmond County,40.5712145,-74.1132944
"Brokered by BEN BAY REALTY, CO.",Pending,625000,3,2,1040,108 Howton Ave,"Staten Island, NY 10308",United States,New York,Richmond County,40.557402,-74.148792
Brokered by COMPASS,Pending,499000,2,2,1358,7272 Royce Pl Unit G1-9,"Brooklyn, NY 11234",New York,Kings County,Brooklyn,40.6248278,-73.909396
Brokered by RE MAX Real Estate Professionals,Pending,485000,3,2,1200,2652 Cropsey Ave Apt 14H,"Brooklyn, NY 11214",United States,New York,Kings County,40.5883839,-73.9910376
Brokered by Corcoran Park Slope,Pending,709000,3,3,2184,1249 E 87th St,"Brooklyn, NY 11236",United States,New York,Kings County,40.6330746,-73.9014669
Brokered by Douglas Elliman - Huntington,Pending,399000,1,1,2184,6939A Park Dr E Unit A,"Kew Garden Hills, NY 11367",United States,New York,Queens County,40.7231998,-73.8267722
Brokered by Corcoran Park Avenue South,Pending,825000,2,2,930,41-18 27th St Apt 1A,"New York, NY 11101",New York,Queens County,Queens,40.7515161,-73.9389442
"Brokered by Ronald Greene, Realtor",Pending,698999,3,2,2184,149-47 115th St,"South Ozone Park, NY 11420",United States,New York,Queens County,40.6680173,-73.8253534
Brokered by Corcoran Park Slope,Pending,5250000,4,4,2184,18 Fillmore Pl,"Brooklyn, NY 11211",United States,New York,Kings County,40.7140169,-73.9587962
Brokered by Keller Williams Rlty Landmark,Pending,1098888,2,3,2184,34 Center Dr,"Malba, NY 11357",United States,New York,Queens County,40.7899772,-73.828053
Brokered by REO First Choice Realty LLC.,Pending,1200000,3,2,3280,1176 Bushwick Ave,"Brooklyn, NY 11221",United States,New York,Kings County,40.688515,-73.916949
"Brokered by Compass Greater Ny, Llc",Pending,799000,4,2,1560,62 Daleham St,"Brooklyn, NY 10308",United States,New York,Richmond County,40.5642806,-74.1530498
Brokered by COMPASS,Pending,550000,3,2,1292,21 Locust Ct,"Staten Island, NY 10309",United States,New York,Richmond County,40.5482041,-74.2109853
Brokered by Douglas Elliman - Syosset,Pending,1088888,3,4,2550,163-36 98th St,"Howard Beach, NY 11414",United States,New York,Queens County,40.6520565,-73.8335563
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Pending,749000,3,3,1368,90-47 176th St,"Jamaica, NY 11432",United States,New York,Queens County,40.7088867,-73.7844919
Brokered by Modern Spaces Love Your Place,Pending,325000,2,1,2184,36 Hamilton Ave Apt 6K,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.6449121,-74.0787385
Brokered by COMPASS,Pending,2500000,5,4,4400,210 Jefferson Ave,"Brooklyn, NY 11216",United States,New York,Kings County,40.6832052,-73.9491758
Brokered by Keller Williams Rlty Landmark,Pending,1848888,6,4,3234,85-26 Edgerton Blvd,"Jamaica, NY 11432",United States,New York,Queens County,40.7160582,-73.7872685
Brokered by Fillmore Real Estate,Pending,559900,5,2,1886,7315 Avenue U,"Brooklyn, NY 11234",United States,New York,Kings County,40.6211924,-73.905796
Brokered by Douglas Elliman - Bayside,Pending,995000,4,2,2184,45-53 169 St,"Flushing, NY 11358",United States,New York,Queens County,40.7543498,-73.797977
Brokered by Ditommaso Real Estate,Pending,769000,3,2,1170,10 Neal Dow Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6222601,-74.1349837
Brokered by Ditommaso Real Estate,Pending,769000,3,2,1170,10 Neal Dow Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6222601,-74.1349837
Brokered by Keller Williams Points North,Pending,540000,2,2,823,118-82 Metropolitan Ave Unit 7C,"Kew Gardens, NY 11415",New York,Queens County,Queens,40.7059564,-73.8319922
Brokered by Brown Harris Stevens,Pending,249000,2,1,900,2601 Henry Hudson West Parkway Pkwy W Unit 6C,"Bronx, NY 10463",United States,New York,Bronx County,40.8808392,-73.9191025
Brokered by Coldwell Banker American Homes,Pending,250000,1,1,2184,18 Brighton 8th,"Brighton Beach, NY 11235",United States,New York,Kings County,40.5838809,-73.9614297
Brokered by Challenger Brokers,Pending,860000,3,4,2325,270 Ramapo Ave,"Staten Island, NY 10309",United States,New York,Richmond County,40.5394441,-74.2109853
Brokered by Brooklynnybpo.Com Llc,Pending,1600000,6,2,2128,155 Sterling St,"Brooklyn, NY 11225",United States,New York,Kings County,40.6630373,-73.9558549
Brokered by Coldwell Banker American Homes,Pending,999999,5,3,2184,91-31 113th St,"Richmond Hill, NY 11418",United States,New York,Queens County,40.6941485,-73.8335209
Brokered by Corcoran Park Slope,Pending,1995000,2,2,2184,246 Sherman St,"Brooklyn, NY 11218",United States,New York,Kings County,40.652842,-73.974441
Brokered by NEUHAUS REALTY INC.,Pending,1280000,5,4,3600,371 Swinnerton St,"Staten Island, NY 10307",United States,New York,Richmond County,40.4995462,-74.2443078
Brokered by CENTURY 21 MK Realty,Pending,589000,4,2,2235,1118 Bay 24th St,"Far Rockaway, NY 11691",United States,New York,Queens County,40.6054311,-73.7620238
Brokered by JABOUR REALTY COMPANY,Pending,1099000,3,2,1472,32 Oliver St,"Brooklyn, NY 11209",United States,New York,Kings County,40.6193503,-74.0388023
Brokered by Douglas Elliman - 280 Metropolitan,Pending,799000,2,2,850,622 Madison St Unit Townhouse,"Brooklyn, NY 11221",United States,New York,Kings County,40.6864817,-73.9334333
Brokered by La Rosa Realty New York Llc,Pending,119000,3,1,2184,86-16 60th Ave Unit 1C,"Elmhurst, NY 11373",New York,Queens County,Queens,40.7306154,-73.8731934
Brokered by Douglas Elliman - Bayside,Pending,970000,3,2,2184,47-08 248th St,"Little Neck, NY 11362",United States,New York,Queens County,40.764944,-73.738236
Brokered by RE MAX Elite,Pending,1649000,7,2,3162,628 56th St,"Brooklyn, NY 11220",United States,New York,Kings County,40.6398568,-74.0109732
Brokered by Brown Harris Stevens - 445 Park Avenue,Pending,375000,1,1,2184,162 E 2nd St Apt B,"Manhattan, NY 10009",New York,New York County,New York,40.7228235,-73.98509
Brokered by Brown Harris Stevens - 445 Park Avenue,Pending,375000,1,1,2184,162 E 2nd St Apt B,"Manhattan, NY 10009",New York,New York County,New York,40.7228235,-73.98509
Brokered by Douglas Elliman  -111 Fifth Ave,Pending,950000,1,1,2184,82 Charles St Apt 5R,"New York, NY 10014",New York,New York County,New York,40.7346124,-74.0039065
