Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1,750,875 Morrison Ave Apt 3M,"Bronx, NY 10473",Bronx County,The Bronx,East Bronx,40.8215857,-73.8740892
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1,978,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6157378,-73.9696944
Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1,850,800 Grand Concourse Apt 2JS,"Bronx, NY 10451",New York,Bronx County,The Bronx,40.8248699,-73.9229829
Brokered by COMPASS,Co-op for sale,259000,3,1,2184,34-41 85th St Unit 1D,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.7531191,-73.8818757
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,2184,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373",New York,Queens County,Queens,40.7438639,-73.8745722
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,2184,61 Jane St Apt 6N,"New York, NY 10014",New York,New York County,New York,40.7382981,-74.0058899
Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1,325,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6181029,-74.0369047
Brokered by Coldwell Banker Realty,Co-op for sale,350000,1,1,700,5800 Arlington Ave Apt 21A,"Bronx, NY 10471",New York,Bronx County,The Bronx,40.9073699,-73.9065578
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1,2184,35-45 81st St Unit E1,"Queens, NY 11372",New York,Queens County,Queens,40.7505078,-73.8851355
Brokered by Du Chris Realty,Co-op for sale,230000,1,1,2184,33-24 Junction Blvd Unit 6R,"Jackson Heights, NY 11372",United States,New York,Queens County,40.7557689,-73.8734231
Brokered by H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1,750,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6179165,-73.9546305
Brokered by E Realty International Corp,Co-op for sale,275000,1,1,2184,44-55 Kissena Blvd Unit 5F,"Flushing, NY 11355",New York,Queens County,Queens,40.7528774,-73.8211834
Brokered by Brown Harris Stevens,Co-op for sale,199900,1,1,2184,828 Gerard Ave Apt 5F,"Bronx, NY 10451",New York,Bronx County,The Bronx,40.8260352,-73.9256625
Brokered by Winzone Realty Inc,Co-op for sale,369000,2,1,2184,43-40 Union St Unit 3D,"Flushing, NY 11355",New York,Queens County,Queens,40.753455,-73.8209077
Brokered by Brown Harris Stevens,Co-op for sale,4250000,3,2,2400,123 Prince St Unit 1,"Manhattan, NY 10012",New York,New York County,New York,40.725464,-73.9999212
