Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Gosen Properties Inc,Foreclosure,269000,5,2,2184,24149 148th Dr,"Rosedale, NY 11422",United States,New York,Queens County,40.6534433,-73.741373
"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,5,4,3740,517 W 142nd St,"New York, NY 10031",United States,New York,New York County,40.824015,-73.9502067
Brokered by Liberty Chateau Realty Inc,Foreclosure,479000,6,2,3100,16 Renfrew Pl,"Staten Island, NY 10303",United States,New York,Richmond County,40.6268305,-74.1471405
"Brokered by Island Advantage Rlty, Llc",Foreclosure,9999000,4,6,4531,960 Park Ave Units 3W & 4C,"New York, NY 10028",New York,New York County,New York,40.7779497,-73.959448
"Brokered by Tom Marco Real Estate, Inc.",Foreclosure,579900,3,2,2640,241 Westervelt Ave,"Staten Island, NY 10301",United States,New York,Richmond County,40.6422293,-74.0830445
Brokered by Mach Realty Llc,Foreclosure,560000,4,2,2318,456 E 134th St,"Bronx, NY 10454",United States,New York,Bronx County,40.8056419,-73.9229736
Brokered by Wonica REALTORS & Appraisers,Foreclosure,249900,2,2,800,1100 Clove Rd Unit G0,"Staten Island, NY 10301",United States,New York,Richmond County,40.6189484,-74.1071576
Brokered by Wonica REALTORS & Appraisers,Foreclosure,899900,3,3,2550,712 Katan Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5499354,-74.1709931
Brokered by Island Advantage Realty LLC,Foreclosure,750000,4,3,3098,3037 Richmond Rd,"Staten Island, NY 10306",United States,New York,Richmond County,40.5758238,-74.1227343
Brokered by 5 Boro Realty Corp,Foreclosure,499000,4,2,1428,719 Vermont St,"Brooklyn, NY 11207",United States,New York,Kings County,40.6618245,-73.890638
Brokered by Island Advantage Realty LLC,Foreclosure,605000,4,2,1344,253 Father Capodanno Blvd,"Staten Island, NY 10305",United States,New York,Richmond County,40.5909939,-74.0662942
"Brokered by River Realty Services, Inc.",Foreclosure,886545,6,4,2116,133-29 Amber St,"Howard Beach, NY 11208",United States,New York,Queens County,40.6719007,-73.8590006
Brokered by All Star Real Estate,Foreclosure,800000,5,2,1584,189 Corosn Ave,"Staten Island, NY 10301",United States,New York,Richmond County,40.6375111,-74.0852471
Brokered by DiTommaso Real Estate,Foreclosure,475000,3,2,1204,57 Skyline Dr,"Staten Island, NY 10304",United States,New York,Richmond County,40.615479,-74.079293
